714345,F2Pool,min relay fee not met,55e8746d8f68186aa034887dfd0ee00693b7d5e6a78c92d32efd3a7e5cdd91b1,3479,19,2,0
714345,F2Pool,tx-size,23fdde2154892096ee4a16c2facd5dc4a531d192e5a6c3bacf810be5b5fb3ba5,119655,1,3661,0
714484,ViaBTC,min relay fee not met,6ec3778d17903b46c29811048aac1270fc1ae9fe07a032bf3d434c6f67a64ac1,2352,17,2,2201
714484,ViaBTC,missing-inputs,cf24d1db7d18f726977cb3cfb516403e8036a02244ea5d2b009dc57e2b90b5e7,1638,11,2,1865
714494,F2Pool,min relay fee not met,15ff888151a94507b8bd3f2097f619349fb4c8fe25d83300d35c2c3a1cf19428,4195,23,2,0
714494,F2Pool,tx-size,d1cf7f0850b281d2f06c3db4dec3edad087e4ad0d32d38a22e6c8e54ba2c7ccf,121610,1,3719,0
714586,F2Pool,min relay fee not met,1880486c4b4c4097ef4aa5c68b5e4abdf99d03468fb63534826a1a9daf276cc1,245,3,1,0
714624,F2Pool,min relay fee not met,84cb8e51975632c6a1a7fa59aee94ceec23119d3d301412b3680c9dfc5644277,4553,25,2,0
714624,F2Pool,tx-size,43a7bf1592a16e75f357896ba388aa8064921859dfd688199f3398fae0b8e1e2,122428,1,3754,0
714761,F2Pool,min relay fee not met,e19130150fa9c225153ecf01841a2d176de0d31b3a1ea4f02304b8242935be02,3837,21,2,0
714761,F2Pool,tx-size,c6b275b6f2a8ba405346e18fefbdcd30d3ed806bdd45a6dd091a8d87d0094ee4,125030,1,3826,0
714880,F2Pool,min relay fee not met,170a8437d98f545cedf358ee3299bc70cb2c04630df83c5084ecb30f878d3e54,3837,21,2,0
714880,F2Pool,tx-size,c2ba79d22515b057b8054f70aba9d47ebd5a86f974ce8e6b5acb0e760f170dbf,121543,1,3723,0
715031,F2Pool,min relay fee not met,49f88612b72477ed5763188e21ff4bfa2701818673064dc529c9f3b416178d27,5805,32,2,0
715031,F2Pool,tx-size,03d1247725890a1a0c4b9789f08d5b892bb09e41364d650510276e78690709e0,124939,1,3826,0
715127,F2Pool,min relay fee not met,a5c062118a4132a8e3441be989de1fb6dea03fdcfaeac8a731b6eb9acca17a5c,144,1,2,0
715172,F2Pool,min relay fee not met,57e6c8d07c1e15f7f1ba7db02ea43cd2f64c4608e7bc013fa29680da2c0486eb,113,1,1,0
715236,F2Pool,min relay fee not met,31b6032d5fd0dbd29b6d279d953da8bf05abb655b197767e8ce1c080a38f8ae4,5448,30,2,0
715236,F2Pool,tx-size,7679da194a17f0f1cc8c0ef2a4509694021fc015b5f8c8cb9d6c2e2a4e5118ac,120836,1,3697,0
715350,F2Pool,min relay fee not met,2b645d9a79ccc3d8576f925d0f4461a3ad8883d3c87f0ab5bdda36e5ca620922,3300,18,2,0
715350,F2Pool,tx-size,c12e1a14f2b50cfe39fb33d173b1fbadd4a23aabeb986c7cf753e80f5e99f2ef,124174,1,3802,0
715489,F2Pool,min relay fee not met,81f37d24c47042bf24f7bf27b975f7251f4c9ea761ea7752d061ff9d56c9263a,3121,17,2,0
715489,F2Pool,tx-size,9cedc04e12e9863fcebcfd3c494875c858bae57236f0d70ea1576f12205cc518,122413,1,3748,0
715638,F2Pool,min relay fee not met,959ba825560d66629037dfe7105d6945350fae3778c47c798e21dbf3cd4e2e24,5448,30,2,0
715638,F2Pool,tx-size,b756f46e49d7e595ced0b7ce75b15c55b6ce84ed07bd07adbfa83cd29190e7aa,125862,1,3857,0
715791,F2Pool,min relay fee not met,5da983a5f412bf3771978296ccb16de769b24f93862569df588d1df177debe52,5448,30,2,0
715791,F2Pool,tx-size,fc68377dd923e2058308cc53b5e57f0fcfdcf041782475f5a1ec0636d61e0aa0,122459,1,3751,0
715922,F2Pool,min relay fee not met,b447778831d619decec2519126a0bc4b8e39805099011f3eb1ac7942750524cb,4016,22,2,0
715922,F2Pool,tx-size,24338f64bc2440e0bf81f0a03e3c76757aca474b0ce4590748725755ffd07816,121451,1,3719,0
716075,F2Pool,min relay fee not met,c2a8ba5180c8eb2cbc912f9016b890e0760e62b4c33028458c6133dcee51c885,4374,24,2,0
716075,F2Pool,tx-size,39be83766eb80cb545672f69391a7841552c04b01ff0d16cf41f7b66b54bfc52,125593,1,3848,0
716095,Binance Pool,too-long-mempool-chain,43abdc1fbab917667705055e933f8ec54ae18ce7b7de891fd182323660a50cde,370,2,2,2256
716198,ViaBTC,min relay fee not met,12cb16ea9a4f8c7aa02a205b6e9b468be9c61d670f356929f9bbed19971cc19e,166,1,2,165
716198,ViaBTC,missing-inputs,29776aee12e18484fdb6bcdbade70119e785cb5d5be8d30dcfae4789686c6f95,166,1,2,660
716210,F2Pool,min relay fee not met,53f5022a233896b6f664c625d72788c622032f1515fd6fc128587a13263a0805,3300,18,2,0
716210,F2Pool,tx-size,163d105b3aa54112e177b1ecad39d0a372bb61776d2c25d18168c1bd46eb2abd,123579,1,3786,0
716349,F2Pool,min relay fee not met,346cb9a9e7a81482005f7941b2a07ef4ff52275fa30ab990557093b739449eca,3299,18,2,0
716349,F2Pool,tx-size,6e282e1fd3f62dc8c69d5b41e54ed222874909c50239ce645b140e7fe26aea2b,124681,1,3822,0
